dataset,model,history_fraction,n_series,n_history_median,mape_median,mape_mean,mape_percent_median,mape_percent_mean,smape_percent_median,smape_percent_mean,mae_median,mae_mean,rmse_median,rmse_mean,mase_median,mase_mean,rmsse_median,rmsse_mean,ecp_median,ecp_mean,mean_width_median,mean_width_mean,interval_score_median,interval_score_mean,msis_median,msis_mean,elapsed_seconds_median,elapsed_seconds_mean
Tourism,S3FastSketchForecaster,1.0,199,158.0,0.16643038543270508,10737.990838393702,16.643038543270507,1073799.0838393704,16.377923064816198,19.400270301379024,366.4585151457716,1671.8579872267119,493.0318174716108,2306.495047901916,1.0020664808920432,1.102291672735095,0.971214555601084,1.0664998754183086,0.8536585365853658,0.8483854177444078,1585.2781033769459,6306.102800831365,2267.0721267400263,11430.001247372742,6.17309871661003,7.265457634696177,67.55039217599915,70.40698568725637
Tourism,S3Forecaster,1.0,199,158.0,0.18090870833064987,11628.689342966489,18.090870833064987,1162868.934296649,17.0906237609602,19.126863271770866,395.5446528866741,1689.187728116297,507.2546803851227,2320.732253860734,1.0309216544744817,1.104927335798391,0.9729983721908068,1.0683712039007573,0.8787878787878788,0.8873921927237285,1678.377535337853,6965.780311735351,2248.096973797423,11795.797600669786,6.214673686490713,7.215265493377041,65.33621853999989,68.04897976089448
CIF,S3FastSketchForecaster,0.25,47,22.0,0.05982821129682692,0.06631009404401621,5.9828211296826925,6.631009404401621,6.043422331056824,6.759615491816206,40.21338604240404,57.03403919833035,48.72492890337148,72.66131090412121,0.7200866882084556,0.9271338673870527,0.8014591564983341,0.9743762074584535,0.8636363636363636,0.8520309477756286,163.9854892159151,211.67701989788733,212.77789420465552,365.1410518826213,4.041156050999298,6.039821100951289,9.705897363000986,10.527712249872337
CIF,S3FastSketchForecaster,0.5,61,43.0,0.05554013554825398,0.12558660307784664,5.554013554825398,12.558660307784665,5.564403394803211,10.405550273477123,47.45748608900354,489316.7471674247,54.96109588653559,590987.8480926972,0.6284457773756263,0.7374803810727295,0.6702901063514217,0.750086618796897,0.9090909090909091,0.8702281325232145,183.66789507684643,9621010.396522038,238.91603288117082,9726521.603033299,3.1954492412841087,4.843688061689705,25.514112447001025,25.981205054868937
CIF,S3FastSketchForecaster,0.75,65,65.0,0.0489382454049797,0.08365959071323852,4.89382454049797,8.365959071323852,4.934165724384472,7.919318645205018,45.350915250432784,652820.4016574882,58.904789524803626,773061.865632744,0.5169883048008901,0.5680984467106599,0.5148742665314818,0.5665273212879778,0.9545454545454546,0.9134634596173058,226.98204699638265,11395524.857743269,276.7960482190934,11468820.838487634,2.715058394499413,3.466122851982054,48.38210882000021,45.27940565966142
CIF,S3FastSketchForecaster,1.0,65,86.0,0.04995566495700496,0.08606777845002503,4.995566495700496,8.606777845002503,5.060634506813337,7.772907287034057,40.731842866901566,674030.5162100723,53.43748299096551,830706.8419300359,0.5743925659942773,0.5644008672352672,0.581311608298602,0.5676865195092534,0.9545454545454546,0.9088699761776685,212.6475174801494,12677644.444062404,242.57817243954014,13328653.635160206,2.797205901856163,3.628215102177135,66.22218218200032,64.7970798485076
CIF,S3Forecaster,0.5,53,43.0,0.04972085873107694,0.07844542094380555,4.9720858731076945,7.8445420943805555,4.9061817898654265,7.887280956468835,39.58243792351352,345.7597174042871,47.54342451804339,440.38682011278024,0.6278135469298153,0.7638061259006492,0.6626693381480434,0.7659450968084599,0.9545454545454546,0.9307296477107797,178.56809341528927,2815.225823260642,214.05744563513565,2871.3291059464673,3.4671766475949832,4.211317923605617,25.01653077600031,27.740589825698116
CIF,S3Forecaster,0.75,61,65.0,0.05129293911767876,0.07581218910497023,5.129293911767876,7.581218910497023,5.287078610604752,7.431279723803829,42.116552293723146,522796.3117621796,52.987889581489796,632562.3374564482,0.5763750891711248,0.5839265427403293,0.5688838977341748,0.5881530837455595,1.0,0.9513683038273203,262.21990405723807,11305802.020643538,262.21990405723807,11315061.271117939,3.1742893468323494,3.589755804544686,45.62015324299955,44.92840802604914
CIF,S3Forecaster,1.0,65,86.0,0.051330042864029576,0.07567533208841534,5.133004286402958,7.567533208841533,5.2215605108905025,7.514672554759518,41.8185705991785,631261.5514111583,53.43748299096551,793613.498912043,0.5849170191779804,0.5710546530097096,0.5698155109298333,0.5776829190392407,1.0,0.9550949050949051,238.71034804025902,12850497.661115538,244.8207732768362,13355453.700784646,3.019653478099536,3.5834322008740878,60.76906374800001,60.46063725204608
M3,S3FastSketchForecaster,0.25,149,23.0,0.07640183058364847,0.15189700385219357,7.640183058364847,15.189700385219355,7.658967216767078,13.557361868389746,406.8181818181818,616.3404259684085,481.2627213816448,752.2399996587816,1.082716085960338,1.5241035795995816,1.1030810590535707,1.5146648578363604,0.7083333333333334,0.6661666041551553,1150.7058370915825,1695.0533712827264,2589.1957503480985,4288.037177070074,6.925731740973129,11.105433714554904,0.27893650800001524,0.28062984288590237
M3,S3FastSketchForecaster,0.5,199,46.0,0.09679029293291998,0.20774098428750384,9.679029293291999,20.774098428750385,10.189671976737275,18.033910717889245,487.1787817242037,754.1244825066766,600.8176247263542,915.4760088999818,0.8540124370743264,1.0209769201431889,0.8290155106427501,1.0038837289400986,0.8125,0.7607996193874113,1457.4359489191,2238.779596472473,2637.095116437891,4895.910731079838,4.549177842097969,6.695290252950795,0.3586519350000117,0.3118969933115588
M3,S3FastSketchForecaster,0.75,199,69.0,0.09135691434049559,0.20975765035640379,9.135691434049559,20.975765035640382,9.162198315336187,17.114352264572425,461.02752970552336,729.546376215412,583.6366402044916,896.0240725391318,0.720961863605256,0.9178566107031788,0.7096608270698582,0.9019768610375756,0.8461538461538461,0.8096029224495083,1470.048126903185,2341.9000351602576,2666.8902600561228,4895.734596195829,3.871641547406106,6.170328796844239,0.4630205710000155,0.40083457923115295
M3,S3FastSketchForecaster,1.0,199,91.0,0.08796578539565446,0.20406083829291974,8.796578539565445,20.406083829291976,8.771990225564972,15.655049111718473,432.0769230769231,664.9143896323283,529.3736502117022,826.606374131483,0.6734010385342859,0.7879678328266454,0.6613928725693914,0.7801500135723518,0.875,0.837347789908387,1544.3756508734798,2301.9544002477046,2362.058245804613,4233.462311806181,3.50161866719188,5.167718488354778,0.5873204440000563,0.5022823279648241
M3,S3Forecaster,0.25,143,23.0,0.06109878106007107,0.11100587774289544,6.109878106007107,11.100587774289544,5.894702206566691,10.66671884862221,290.0156306635494,444.72885216007984,389.4212652115653,555.5200144882469,0.7972332451499118,1.013894616440246,0.8070933107694741,1.021935312140435,0.875,0.8564874635853656,1338.5441330366593,1933.3311605951,1856.6287279757598,2909.5444864957262,3.9996275359163467,6.413562322157576,0.2663418729999876,0.2697675538321658
M3,S3Forecaster,0.5,155,46.0,0.051781780670565686,0.09540221765341288,5.178178067056568,9.540221765341286,5.186403866984587,9.117880627324602,269.86641976311734,390.8011011215725,363.58149209023,497.6762639040296,0.5547994913623396,0.717130285971891,0.5953639963074578,0.7428872201291622,0.9583333333333334,0.9242648098264796,1516.6384366858501,1994.4474288594529,1861.7711083167176,2733.3548690452344,3.063881992168362,5.1010488624750865,0.3197714990000122,0.31930947839354407
