rank,dataset,model,n_series,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median,trainable_params_median,elapsed_seconds_median
1,CIF,S3FastSketchForecaster,65,4.995566495700496,4.989258048058838,5.060634506813337,4.885213084893275,0.5743925659942773,0.3142490535809761,53.43748299096551,140.09983347583818,0.9088699761776685,212.6475174801494,2.797205901856163,26.0,59.647973087001446
2,CIF,S3Forecaster,65,5.133004286402958,5.097061396991487,5.2215605108905025,4.934353052928037,0.5849170191779804,0.31968393290111236,53.43748299096551,137.498563805236,0.9550949050949051,238.71034804025902,3.019653478099536,162.0,57.34374042099989
3,CIF,ETS,65,5.189491686463588,5.125158704321564,5.298762521340004,5.189461359436576,0.5508807706770037,0.34749115697677635,54.27427490713744,133.73570244503082,0.9393471912702682,211.19398816605252,2.999830188244961,0.0,10.892992506000155
4,CIF,GPR,65,5.733462649813148,7.470139706394094,5.5763271961668766,7.033864183075034,0.6650981320054973,0.3755810418681041,59.46331672302362,169.7613394482147,0.9327273154196231,255.90003320699526,3.376962477644642,0.0,3.323946079999587
5,CIF,Theta,65,6.147533618710053,4.783457894858928,6.11634502525729,4.536688685195815,0.6247077032488517,0.34110994750982065,55.370424680983284,129.6042395036835,0.9377722704645781,249.06846953876737,3.2547220297706088,0.0,0.8107958900000085
6,CIF,AR,65,6.204324116225022,7.941724060172451,6.176024146224257,7.4519929204801905,0.6208461578768993,0.4449198675611421,61.74937273108871,149.2202166797931,0.9486724813647891,266.55936938026593,3.66393471324667,0.0,0.4452074659966456
7,CIF,TimesFM-2.5-200M,66,6.825948668235308,12.316081650525822,6.713101191262716,11.794697456219426,0.5347657117410938,0.534153146223526,88.48060399994496,170.2186599150916,0.9078282828282828,270.43641420026023,3.4481979336451367,0.0,102.50787313450019
8,CIF,ARIMA,65,8.183873033148693,7.331559279763268,7.983129250398019,7.023209379472584,0.6802210150843174,0.8433578507835973,70.42587138669325,205.40105520726974,0.9390863410094179,322.4337655665539,3.7981821582559743,0.0,4.720587415999034
9,CIF,Chronos-Bolt-Small,66,8.478148804151822,14.708057244462545,8.332914535770128,14.093398649933494,0.6354101000918033,0.6864756797416269,97.50702009202769,242.66376016793822,0.9015151515151515,376.60235159470244,4.242929303717522,0.0,1.0212964150000516
10,CIF,EasyTSF-NLinear,66,9.000525970533747,14.474910097105973,9.169962206241587,12.645025234566589,0.8540148973060655,0.6501296195841593,110.88859445440798,211.65956229318834,0.9103535353535354,407.2428939219711,4.565582193188092,13.0,0.9137451039998723
